population,pickle_file,gen0_best_score_final_score,overall_best_final_score,difference,best_gen,gen0_score_as_%,overall_score_as_%
Synthetic,Cycle_01/01_gen_data.pkl,-0.30219633440754995,0.016133989629417977,0.3183303240369679,8,31.063707020950478,20.96671928892821
Synthetic,Cycle_02/02_gen_data.pkl,-0.11427272974185504,-0.02687204272041127,0.08740068702144377,4,25.679107153601706,24.78765891453456
Synthetic,Cycle_03/03_gen_data.pkl,-0.162872917639743,0.041787924945811294,0.20466084258555428,18,28.89715147664048,21.525948200635153
Synthetic,Cycle_04/04_gen_data.pkl,-0.15051347870968432,0.09644114732802886,0.24695462603771318,6,13.290494708384678,22.387259500091993
Synthetic,Cycle_05/05_gen_data.pkl,-0.10483976244632837,0.01492184983826883,0.1197616122845972,11,18.796963977227392,36.8048027117333
Synthetic,Cycle_06/06_gen_data.pkl,-0.07757038521247611,-0.012695551101414349,0.06487483411106176,18,24.453700583157605,28.09764437993899
Synthetic,Cycle_07/07_gen_data.pkl,-0.24869701847996284,-0.013057357153764992,0.23563966132619785,4,34.2047482461275,25.94362705458977
Synthetic,Cycle_08/08_gen_data.pkl,-0.16717082380618797,-0.09688869243377296,0.07028213137241501,6,20.266144130739715,28.356842928635796
Synthetic,Cycle_09/09_gen_data.pkl,-0.12234716841154128,-0.011700459386736833,0.11064670902480445,7,21.946317641604487,16.95073297280302
Synthetic,Cycle_10/10_gen_data.pkl,-0.12111512864561852,0.007860969722817301,0.12897609836843582,15,20.157247699210735,26.002057589552617
Extension_Population,Cycle_01/01_gen_data.pkl,0.1326120935391535,0.05804166860398435,-0.07457042493516916,15,35.11948436847215,39.137500193731775
Extension_Population,Cycle_02/02_gen_data.pkl,0.07199667410601529,0.09364827078381366,0.021651596677798368,15,36.17679273024099,42.99836031725649
Extension_Population,Cycle_03/03_gen_data.pkl,0.08468572317344963,0.1649643491524195,0.08027862597896987,2,35.36580091697324,36.07938821013663
Extension_Population,Cycle_04/04_gen_data.pkl,-0.0382243393061687,0.2950964945306449,0.3333208338368136,1,34.14753310650367,36.954705637910365
Extension_Population,Cycle_05/05_gen_data.pkl,0.030453358313538514,0.11707654209348417,0.08662318377994566,8,36.15996124079995,38.64794741682745
Extension_Population,Cycle_06/06_gen_data.pkl,0.1473942674174642,0.10686300105142921,-0.04053126636603499,11,35.68019108551243,38.5695919258097
Extension_Population,Cycle_07/07_gen_data.pkl,-0.04722421067319055,0.1850396476501942,0.23226385832338475,4,34.36828251348449,37.019609266848555
Extension_Population,Cycle_08/08_gen_data.pkl,-0.061126708658890805,0.15354991872451781,0.21467662738340862,12,34.531620667280464,36.71414984540659
Extension_Population,Cycle_09/09_gen_data.pkl,0.050644584230525425,0.17787475806024367,0.12723017382971824,15,34.24860080821928,38.137875733464874
Extension_Population,Cycle_10/10_gen_data.pkl,0.019056104827765763,0.12270135587128062,0.10364525104351485,14,35.73419726415954,41.22764521609869
Built_from_scratch_population,Cycle_01/01_gen_data.pkl,-0.13599478499009626,0.15867485562791306,0.2946696406180093,8,30.509257010191142,31.676882516361232
Built_from_scratch_population,Cycle_02/02_gen_data.pkl,-0.08467599918256563,0.03533726546703064,0.12001326464959627,10,40.42469713406994,33.644812021769546
Built_from_scratch_population,Cycle_03/03_gen_data.pkl,-0.15650019659657116,0.10428311395422019,0.26078331055079135,10,26.574451027763583,42.45668324097806
Built_from_scratch_population,Cycle_04/04_gen_data.pkl,-0.1093292563133258,0.004025082970135652,0.11335433928346145,4,29.72591779512675,35.51554664333508
Built_from_scratch_population,Cycle_05/05_gen_data.pkl,-0.15173733266770206,0.055392567566092565,0.20712990023379463,17,44.36362313551114,39.9357344893008
Built_from_scratch_population,Cycle_06/06_gen_data.pkl,-0.10080654711732989,0.0711963895369076,0.1720029366542375,19,42.58721634926303,49.718645719213605
Built_from_scratch_population,Cycle_07/07_gen_data.pkl,-0.05764126808537079,0.08994332537576138,0.14758459346113217,15,38.84327751826438,31.07178986507071
Built_from_scratch_population,Cycle_08/08_gen_data.pkl,-0.14447457696289723,0.10260069307321817,0.2470752700361154,18,42.20015510417462,47.56064883077314
Built_from_scratch_population,Cycle_09/09_gen_data.pkl,-0.040241552709159134,0.12462881272275989,0.16487036543191902,13,39.341218169172365,36.211503890430954
Built_from_scratch_population,Cycle_10/10_gen_data.pkl,-0.09276120154524725,0.07315971736897364,0.1659209189142209,11,32.04907897520247,33.26271539959259
