population,pickle_file,gen0_best_score_score_as_%,overall_best_score_as_%,difference,best_gen,gen0_final_score,overall_final_score
Synthetic,Cycle_01/01_gen_data.pkl,32.00377781232599,37.618117500327806,5.614339688001813,7,-0.30537912750013496,-0.26048079985171546
Synthetic,Cycle_02/02_gen_data.pkl,37.43597421961326,45.058828766882684,7.6228545472694265,3,-0.3196261966402205,-0.1529557839161797
Synthetic,Cycle_03/03_gen_data.pkl,34.806600146285014,43.965482161470696,9.158882015185682,19,-0.26783979406752567,-0.16302651218973746
Synthetic,Cycle_04/04_gen_data.pkl,38.978453392431646,43.45033700158841,4.471883609156762,1,-0.15562655291213523,-0.1143088700584371
Synthetic,Cycle_05/05_gen_data.pkl,33.24097483000366,42.39924819378348,9.15827336377982,15,-0.1175902516999634,-0.10947206459092962
Synthetic,Cycle_06/06_gen_data.pkl,28.928453548942006,42.803270996995344,13.874817448053339,13,-0.2174308052149842,-0.15921710488701424
Synthetic,Cycle_07/07_gen_data.pkl,34.2047482461275,41.556005146060684,7.351256899933183,18,-0.24869701847996284,-0.19094970878365536
Synthetic,Cycle_08/08_gen_data.pkl,25.887978926053723,46.265280193544186,20.377301267490463,16,-0.32585293093259304,-0.1358378789443226
Synthetic,Cycle_09/09_gen_data.pkl,28.872892370606795,38.47960270018632,9.606710329579524,16,-0.3807692087411626,-0.14144511557734807
Synthetic,Cycle_10/10_gen_data.pkl,41.616383365522296,42.67933218072147,1.0629488151991708,2,-0.2085734066187816,-0.20945748610111997
Extension_Population,Cycle_01/01_gen_data.pkl,37.98455164941265,44.1318029950866,6.147251345673951,19,-0.2884776889530822,-0.029189754677477975
Extension_Population,Cycle_02/02_gen_data.pkl,38.467365771689074,46.39465921450553,7.927293442816456,18,-0.3376304524007552,0.013946592145055337
Extension_Population,Cycle_03/03_gen_data.pkl,40.27931620432197,43.858976547773295,3.579660343451323,17,-0.13223791243582567,-0.03768620720036853
Extension_Population,Cycle_04/04_gen_data.pkl,37.969936487846894,43.386607885466766,5.416671397619872,16,-0.2932910199499034,0.12425342558702657
Extension_Population,Cycle_05/05_gen_data.pkl,37.70955128618451,43.20265751889959,5.4931062327150855,18,-0.35564596800991843,-0.18400912137610892
Extension_Population,Cycle_06/06_gen_data.pkl,38.13747221395559,42.42648956045953,4.28901734650394,17,-0.3123196284977243,-0.005743857393265828
Extension_Population,Cycle_07/07_gen_data.pkl,38.179634549708766,45.09597953882228,6.916344989113512,14,-0.25147261003562515,-0.044376350918929164
Extension_Population,Cycle_08/08_gen_data.pkl,37.79489263297098,39.883674413752495,2.0887817807815168,18,-0.2772999071418534,-0.221508327278144
Extension_Population,Cycle_09/09_gen_data.pkl,38.60506892482808,41.13677698498245,2.531708060154365,18,-0.1310574452031505,-0.11166493769975228
Extension_Population,Cycle_10/10_gen_data.pkl,39.73748523321567,41.521649772912426,1.7841645396967536,2,-0.238492990813171,-0.10373625176454593
Built_from_scratch_population,Cycle_01/01_gen_data.pkl,40.4898188816618,51.17551716023666,10.685698278574861,19,-0.21737332055479475,0.049816239226390724
Built_from_scratch_population,Cycle_02/02_gen_data.pkl,40.42469713406994,50.23420914556731,9.809512011497375,10,-0.08467599918256563,-0.03364841451719491
Built_from_scratch_population,Cycle_03/03_gen_data.pkl,42.45668324097806,47.0543772590655,4.597694018087438,17,-0.16786359227814834,-0.24734118632401314
Built_from_scratch_population,Cycle_04/04_gen_data.pkl,36.93826312673502,52.539587596517954,15.60132446978293,13,-0.1472789743434662,-0.13163711629096808
Built_from_scratch_population,Cycle_05/05_gen_data.pkl,44.36362313551114,54.24414609824929,9.880522962738148,14,-0.15173733266770206,-0.022422795978862542
Built_from_scratch_population,Cycle_06/06_gen_data.pkl,42.58721634926303,53.7086684388161,11.121452089553067,11,-0.10080654711732989,-0.07013293097322126
Built_from_scratch_population,Cycle_07/07_gen_data.pkl,38.84327751826438,49.44545210549997,10.602174587235588,16,-0.05764126808537079,-0.1108212091644023
Built_from_scratch_population,Cycle_08/08_gen_data.pkl,42.20015510417462,50.48946492355771,8.289309819383092,18,-0.14447457696289723,0.044450886747116336
Built_from_scratch_population,Cycle_09/09_gen_data.pkl,41.470233147392435,48.253570593272194,6.783337445879759,7,-0.15707560178092927,-0.05652885770807231
Built_from_scratch_population,Cycle_10/10_gen_data.pkl,44.620021612892685,55.12973206752939,10.509710454636704,12,-0.28125770653985743,-0.10850076619791982
